Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2u2 100V","C_1210_3225Metric",79.200000,-8.500000,180.000000,top
"C2","100n 100V","C_0805_2012Metric",83.600000,-8.500000,180.000000,top
"C3","22u 10V","C_1206_3216Metric",103.500000,-10.800000,90.000000,top
"C4","100n 50V","C_0805_2012Metric",100.300000,-10.200000,90.000000,top
"C5","100n 50V","C_0805_2012Metric",15.000000,-20.500000,90.000000,top
"C6","100n 50V","C_0805_2012Metric",21.800000,-20.800000,0.000000,top
"C7","100n 50V","C_0805_2012Metric",60.500000,-25.100000,0.000000,top
"C8","100n 50V","C_0805_2012Metric",29.500000,-25.100000,0.000000,top
"C9","10n 50V","C_0805_2012Metric",35.000000,-25.100000,0.000000,top
"C10","10n 50V","C_0805_2012Metric",35.000000,-36.300000,0.000000,top
"C11","10u 25V","C_1206_3216Metric",29.500000,-33.700000,0.000000,top
"C12","10n 50V","C_0805_2012Metric",55.000000,-25.100000,0.000000,top
"C13","100n 50V","C_0805_2012Metric",55.000000,-36.300000,0.000000,top
"C14","100n 50V","C_0805_2012Metric",40.000000,-24.000000,0.000000,top
"C15","100n 50V","C_0805_2012Metric",68.500000,-17.800000,0.000000,top
"C16","100n 50V","C_0805_2012Metric",76.000000,-21.200000,0.000000,top
"C17","100n 50V","C_0805_2012Metric",68.500000,-27.800000,0.000000,top
"C18","100n 50V","C_0805_2012Metric",76.000000,-32.299999,0.000000,top
"D1","SM6T36A","D_SMB",41.000000,-14.200000,180.000000,top
"D2","B160","D_SMA",76.500000,-13.200000,180.000000,top
"D3","green 5V","LED_0805_2012Metric",98.500000,-14.800000,0.000000,top
"D4","1N4148W","D_SOD-123",29.500000,-36.700000,0.000000,top
"D5","SM6T36A","D_SMB",15.500000,-6.300000,180.000000,top
"D6","SM6T36A","D_SMB",49.000000,-14.200000,0.000000,top
"D7","BZX384-C12","D_SOD-323",68.500000,-5.800000,180.000000,top
"D8","green K1","LED_0805_2012Metric",65.500000,-42.500000,0.000000,top
"D9","amber PRECHARGE","LED_0805_2012Metric",80.500000,-42.500000,0.000000,top
"D10","red FAULT","LED_0805_2012Metric",91.500000,-42.500000,0.000000,top
"D11","red E-STOP OPEN","LED_0805_2012Metric",52.000000,-42.800000,0.000000,top
"D12","PESD5V0S1BA","D_SOD-323",94.000000,-36.800000,0.000000,top
"D13","PESD5V0S1BA","D_SOD-323",94.000000,-31.200000,0.000000,top
"D14","PESD5V0S1BA","D_SOD-323",94.000000,-25.600000,0.000000,top
"D15","PESD5V0S1BA","D_SOD-323",94.000000,-20.000000,0.000000,top
"D16","PESD5V0S1BA","D_SOD-323",94.000000,-34.000000,0.000000,top
"D17","PESD5V0S1BA","D_SOD-323",94.000000,-28.400000,0.000000,top
"D18","PESD5V0S1BA","D_SOD-323",94.000000,-22.800000,0.000000,top
"L1","220uH","L_Coilcraft_LPS5030",97.000000,-4.200000,0.000000,top
"P1","P1 power/coil 2x05","Molex_Micro-Fit_3.0_43045-1012_2x05_P3.00mm_Vertical",38.000000,-3.200000,0.000000,top
"P2","P2 Kelvin RS1","Molex_Micro-Fit_3.0_43045-0212_2x01_P3.00mm_Vertical",5.500000,-19.000000,0.000000,top
"P3","P3 signal to J1 2x04","Molex_Micro-Fit_3.0_43045-0812_2x04_P3.00mm_Vertical",101.000000,-31.000000,90.000000,top
"Q1","NDT3055L","SOT-223-3_TabPin2",26.500000,-7.000000,180.000000,top
"Q2","2N7002K","SOT-23",70.500000,-33.000000,0.000000,top
"Q3","2N7002K","SOT-23",70.500000,-37.500000,0.000000,top
"Q4","2N7002K","SOT-23",57.500000,-15.200000,90.000000,top
"Q5","2N7002K","SOT-23",68.000000,-12.800000,90.000000,top
"Q6","NDT2955","SOT-223-3_TabPin2",60.500000,-7.000000,0.000000,top
"Q7","2N7002K","SOT-23",64.000000,-38.500000,0.000000,top
"Q8","2N7002K","SOT-23",79.000000,-38.500000,0.000000,top
"Q9","2N7002K","SOT-23",90.000000,-38.500000,0.000000,top
"Q10","2N7002K","SOT-23",86.500000,-21.000000,0.000000,top
"Q11","2N7002K","SOT-23",86.500000,-26.000000,0.000000,top
"Q12","2N7002K","SOT-23",86.500000,-31.000000,0.000000,top
"R1","1M","R_0805_2012Metric",94.500000,-13.000000,0.000000,top
"R2","110k","R_0805_2012Metric",94.500000,-15.600000,0.000000,top
"R3","0R","R_0805_2012Metric",84.200000,-13.600000,180.000000,top
"R4","0R","R_0805_2012Metric",84.200000,-11.000000,180.000000,top
"R5","1k5","R_0805_2012Metric",90.500000,-17.800000,0.000000,top
"R6","10R","R_0805_2012Metric",12.200000,-18.500000,0.000000,top
"R7","10R","R_0805_2012Metric",12.200000,-22.500000,0.000000,top
"R8","30k1","R_0805_2012Metric",60.500000,-19.500000,0.000000,top
"R9","10k","R_0805_2012Metric",60.500000,-22.300000,0.000000,top
"R10","10k","R_0805_2012Metric",29.500000,-19.500000,0.000000,top
"R11","10k","R_0805_2012Metric",29.500000,-22.300000,0.000000,top
"R12","100k 0.1%","R_0805_2012Metric",35.000000,-19.500000,0.000000,top
"R13","9k76 0.1%","R_0805_2012Metric",35.000000,-22.300000,0.000000,top
"R14","100k 0.1%","R_0805_2012Metric",35.000000,-30.700000,0.000000,top
"R15","11k 0.1%","R_0805_2012Metric",35.000000,-33.500000,0.000000,top
"R16","1M","R_0805_2012Metric",35.000000,-27.900000,0.000000,top
"R17","330k","R_0805_2012Metric",29.500000,-30.700000,0.000000,top
"R18","100k","R_0805_2012Metric",55.000000,-19.500000,0.000000,top
"R19","10k","R_0805_2012Metric",55.000000,-22.300000,0.000000,top
"R20","1M","R_0805_2012Metric",55.000000,-27.900000,0.000000,top
"R21","10k","R_0805_2012Metric",55.000000,-30.700000,0.000000,top
"R22","100k","R_0805_2012Metric",55.000000,-33.500000,0.000000,top
"R23","1M","R_0805_2012Metric",55.000000,-39.100000,0.000000,top
"R24","10k","R_0805_2012Metric",60.500000,-27.900000,0.000000,top
"R25","10k","R_0805_2012Metric",60.500000,-30.700000,0.000000,top
"R26","10k","R_0805_2012Metric",29.500000,-27.900000,0.000000,top
"R27","10k","R_0805_2012Metric",29.500000,-39.500000,0.000000,top
"R28","100k","R_0805_2012Metric",68.500000,-25.000000,0.000000,top
"R29","10k","R_0805_2012Metric",76.000000,-29.500000,0.000000,top
"R30","100R","R_0805_2012Metric",30.500000,-12.600000,0.000000,top
"R31","1M","R_0805_2012Metric",26.000000,-12.600000,0.000000,top
"R32","10k","R_0805_2012Metric",62.500000,-15.600000,0.000000,top
"R33","10k","R_0805_2012Metric",68.500000,-8.600000,0.000000,top
"R34","47k","R_0805_2012Metric",68.500000,-3.000000,0.000000,top
"R35","1k5","R_0805_2012Metric",60.500000,-42.500000,0.000000,top
"R36","1k5","R_0805_2012Metric",75.500000,-42.500000,0.000000,top
"R37","1k5","R_0805_2012Metric",86.500000,-42.500000,0.000000,top
"R38","1k5","R_0805_2012Metric",47.500000,-42.800000,0.000000,top
"U1","LM5165X","Texas_S-PVSON-N10_ThermalVias",89.500000,-9.000000,0.000000,top
"U2","INA228","VSSOP-10_3x3mm_P0.5mm",19.000000,-26.000000,90.000000,top
"U3","LM339","SOIC-14_3.9x8.7mm_P1.27mm",45.000000,-29.500000,0.000000,top
"U4","74LVC1G08","SOT-23-5",68.500000,-21.000000,0.000000,top
"U5","SN74LVC1G74","SSOP-8_2.95x2.8mm_P0.65mm",76.000000,-25.000000,0.000000,top
